experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,51.888,0.008,6486,prefix_018,prefix,122,0.891456,sparse_k,sparse_k,9.046696,4.767279
H5,0.5,51.888,0.008,6486,prefix_016,prefix,136,0.790113,sparse_k,sparse_k,9.539967,5.445861
H5,0.5,51.888,0.008,6486,session_023,session,202,0.526862,sparse_k,int4,12.692081,8.438016
H5,0.5,51.888,0.008,6486,prefix_002,prefix,113,0.929799,sparse_k,sparse_k,8.656355,4.382773
H5,0.5,51.888,0.008,6486,prefix_010,prefix,129,0.806744,sparse_k,sparse_k,9.18951,5.094325
H5,0.5,51.888,0.008,6486,prefix_012,prefix,145,0.657071,sparse_k,int4,9.660574,5.802036
H5,0.5,51.888,0.008,6486,session_022,session,122,0.75459,sparse_k,sparse_k,8.636096,4.767279
H5,0.5,51.888,0.008,6486,session_033,session,157,0.568267,sparse_k,int4,10.095877,6.285013
H5,0.5,51.888,0.008,6486,rag_029,rag,133,0.651074,sparse_k,sparse_k,8.950854,5.292204
H5,0.5,51.888,0.008,6486,session_016,session,158,0.520657,sparse_k,int4,10.011976,6.326993
H5,0.5,51.888,0.008,6486,rag_024,rag,133,0.595771,sparse_k,sparse_k,8.784945,5.292204
H5,0.5,51.888,0.008,6486,rag_006,rag,97,0.761774,sparse_k,sparse_k,7.267722,3.799162
H5,0.5,51.888,0.008,6486,prefix_009,prefix,74,0.95,sparse_k,sparse_k,6.591963,3.184367
H5,0.5,51.888,0.008,6486,rag_022,rag,142,0.490064,sparse_k,int4,8.985685,5.68729
H5,0.5,51.888,0.008,6486,rag_020,rag,98,0.679612,sparse_k,sparse_k,7.075999,3.831889
H5,0.5,51.888,0.008,6486,rag_016,rag,148,0.438771,sparse_k,int4,9.180166,5.919182
H5,0.5,51.888,0.008,6486,rag_045,rag,131,0.493594,sparse_k,sparse_k,8.364098,5.192265
H5,0.5,51.888,0.008,6486,rag_026,rag,146,0.429157,sparse_k,int4,9.034925,5.840818
H5,0.5,51.888,0.008,6486,session_004,session,112,0.497442,sparse_k,sparse_k,7.303479,4.342549
